"titulo","valor","endereco","url"
"IPhone 11 64gb . 128gb leia descri&ccedil;&atilde;o","2850.0","Goi&acirc;nia","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-128gb-leia-descricao-1020107840"
"iPhone 11 128 g","3000.0","Planaltina, Setor Leste","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128-g-1014873004"
"Vendo iPhone 11 64 gb","2900.0","Goi&acirc;nia, Setor Sul","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/vendo-iphone-11-64-gb-1013916900"
"iPhone 11 64Gb lil&aacute;s","3100.0","Goi&acirc;nia, Setor Bueno","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-lilas-1017456546"
"iPhone 11 64GB","3100.0","An&aacute;polis, V&iacute;viam Parque","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-1018385000"
"iPhone 11","3000.0","Goi&acirc;nia, Condom&iacute;nio Anhanguera","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1011298065"
"Iphone 11 - usado","2700.0","Goi&acirc;nia, Residencial Alphaville Flamboyant","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-usado-1018387208"
"iPhone 11 64GB","3150.0","Goi&acirc;nia, Capuava","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-1011243630"
"iPhone 11 64gb Branco Impec&aacute;vel (Sem Detalhes)","2850.0","Goi&acirc;nia","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-branco-impecavel-sem-detalhes-1020100381"
"iPhone 11","3099.0","","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1020098668"
"IPhone 11 64gb . 128gb leia descri&ccedil;&atilde;o","2850.0","Goi&acirc;nia","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-128gb-leia-descricao-1020107840"
"iPhone 11 128 g","3000.0","Planaltina, Setor Leste","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128-g-1014873004"
"Vendo iPhone 11 64 gb","2900.0","Goi&acirc;nia, Setor Sul","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/vendo-iphone-11-64-gb-1013916900"
"iPhone 11 64Gb lil&aacute;s","3100.0","Goi&acirc;nia, Setor Bueno","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-lilas-1017456546"
"iPhone 11 64GB","3100.0","An&aacute;polis, V&iacute;viam Parque","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-1018385000"
"iPhone 11","3000.0","Goi&acirc;nia, Condom&iacute;nio Anhanguera","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1011298065"
"Iphone 11 - usado","2700.0","Goi&acirc;nia, Residencial Alphaville Flamboyant","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-usado-1018387208"
"iPhone 11 64GB","3150.0","Goi&acirc;nia, Capuava","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-1011243630"
"iPhone 11 64gb Branco Impec&aacute;vel (Sem Detalhes)","2850.0","Goi&acirc;nia","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-branco-impecavel-sem-detalhes-1020100381"
"iPhone 11","3099.0","","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1020098668"
